year,state,votes,party
2016,NH,30777,LIB
2016,NH,9618,OTHER
2016,NH,6496,OTHER
2016,NH,2411,OTHER
2016,NH,678,OTHER
2020,NH,13235,LIB
2020,NH,365654,REP
2020,NH,424921,DEM
2020,NH,47,OTHER
2020,NH,14,OTHER
2020,NH,142,OTHER
2020,NH,217,OTHER
2020,NH,10,OTHER
2020,NH,67,OTHER
2020,NH,19,OTHER
2020,NH,10,OTHER
2020,NH,13,OTHER
2020,NH,56,OTHER
2020,NH,12,OTHER
2020,NH,170,OTHER
2020,NH,192,OTHER
2020,NH,14,OTHER
2020,NH,46,OTHER
2020,NH,22,OTHER
2020,NH,23,OTHER
2020,NH,82,OTHER
2020,NH,58,OTHER
2020,NH,1158,OTHER
1976,NJ,1509688,REP
1976,NJ,1444653,DEM
1976,NJ,32717,OTHER
1976,NJ,9449,LIB
1976,NJ,7716,OTHER
1976,NJ,3686,OTHER
1976,NJ,1662,OTHER
1976,NJ,1650,OTHER
1976,NJ,1184,OTHER
1976,NJ,1044,OTHER
1976,NJ,554,OTHER
1976,NJ,469,OTHER
1980,NJ,1546557,REP
1980,NJ,1147364,DEM
1980,NJ,234632,OTHER
1980,NJ,20652,LIB
1980,NJ,8203,OTHER
1980,NJ,3927,OTHER
1980,NJ,3694,OTHER
1980,NJ,2555,OTHER
1980,NJ,2198,OTHER
1980,NJ,1973,OTHER
1980,NJ,1718,OTHER
1980,NJ,1288,OTHER
1980,NJ,923,OTHER
1984,NJ,1933630,REP
1984,NJ,1261323,DEM
1984,NJ,8404,OTHER
1984,NJ,6416,LIB
1984,NJ,2293,OTHER
1984,NJ,1721,OTHER
1984,NJ,1564,OTHER
1984,NJ,1264,OTHER
1984,NJ,1247,OTHER
1988,NJ,1743192,REP
1988,NJ,1320352,DEM
1988,NJ,9953,OTHER
1988,NJ,8421,LIB
1988,NJ,5139,OTHER
1988,NJ,3454,OTHER
1988,NJ,2587,OTHER
1988,NJ,2446,OTHER
1988,NJ,2298,OTHER
1988,NJ,1020,OTHER
1988,NJ,691,OTHER
1992,NJ,1436206,DEM
1992,NJ,1356865,REP
1992,NJ,521829,OTHER
1992,NJ,6822,LIB
1992,NJ,4749,OTHER
1992,NJ,3513,OTHER
1992,NJ,2670,OTHER
1992,NJ,2095,OTHER
1992,NJ,2011,OTHER
1992,NJ,1996,OTHER
1992,NJ,1867,OTHER
1992,NJ,1618,OTHER
1992,NJ,1353,OTHER
1996,NJ,1652361,DEM
1996,NJ,1103099,REP
1996,NJ,320400,OTHER
2000,NJ,1788850,DEM
2000,NJ,1284173,REP
2000,NJ,114203,OTHER
2004,NJ,1911430,DEM
2004,NJ,1670003,REP
2004,NJ,30258,OTHER
2008,NJ,2215422,DEM
2008,NJ,1613207,REP
2008,NJ,21298,OTHER
2008,NJ,8441,LIB
2008,NJ,3956,OTHER
2008,NJ,3636,OTHER
2008,NJ,699,OTHER
2008,NJ,639,OTHER
2008,NJ,523,OTHER
2008,NJ,416,OTHER
2012,NJ,2122786,DEM
2012,NJ,1478088,REP
2012,NJ,21035,LIB
2012,NJ,9886,OTHER
2012,NJ,2063,OTHER
2012,NJ,1723,OTHER
2012,NJ,1024,OTHER
2012,NJ,709,OTHER
2012,NJ,664,OTHER
2012,NJ,521,OTHER
2016,NJ,2148278,DEM
2016,NJ,1601933,REP
2016,NJ,72477,LIB
2016,NJ,37772,OTHER
2016,NJ,6161,OTHER
2016,NJ,2156,OTHER
2016,NJ,1838,OTHER
2016,NJ,1749,OTHER
2016,NJ,1682,OTHER
2020,NJ,1883274,REP
2020,NJ,2608335,DEM
2020,NJ,31677,LIB
2020,NJ,14202,OTHER
2020,NJ,3255,OTHER
2020,NJ,2954,OTHER
2020,NJ,2928,OTHER
2020,NJ,2728,OTHER
1976,NM,211419,REP
1976,NM,201148,DEM
1976,NM,2462,OTHER
1976,NM,1110,LIB
1976,NM,240,OTHER
1976,NM,211,OTHER
1980,NM,250779,REP
1980,NM,167826,DEM
1980,NM,29459,OTHER
1980,NM,4365,LIB
1980,NM,2202,OTHER
1980,NM,1281,OTHER
1980,NM,325,OTHER
1984,NM,307101,REP
1984,NM,201769,DEM
1984,NM,4459,LIB
1984,NM,455,OTHER
1984,NM,224,OTHER
1984,NM,206,OTHER
1984,NM,155,OTHER
1984,NM,1,OTHER
1988,NM,270341,REP
1988,NM,244497,DEM
1988,NM,3368,LIB
1988,NM,2237,OTHER
1988,NM,344,OTHER
1988,NM,258,OTHER
1988,NM,249,OTHER
1988,NM,93,OTHER
1992,NM,261617,DEM
1992,NM,212824,REP
1992,NM,91895,OTHER
1992,NM,1615,LIB
1992,NM,620,OTHER
1992,NM,562,OTHER
1992,NM,369,OTHER
1992,NM,183,OTHER
1992,NM,181,OTHER
1992,NM,120,OTHER
1996,NM,273495,DEM
1996,NM,232751,REP
1996,NM,32257,OTHER
1996,NM,13218,OTHER
1996,NM,2996,LIB
1996,NM,713,OTHER
1996,NM,644,OTHER
2000,NM,286783,DEM
2000,NM,286417,REP
2000,NM,21251,OTHER
2000,NM,2058,LIB
2000,NM,1392,OTHER
2000,NM,361,OTHER
2000,NM,343,OTHER
2004,NM,376930,REP
2004,NM,370942,DEM
2004,NM,4053,OTHER
2004,NM,2382,LIB
2004,NM,1226,OTHER
2004,NM,771,OTHER
2008,NM,472422,DEM
2008,NM,346832,REP
2008,NM,5327,OTHER
2008,NM,2428,LIB
2008,NM,1597,OTHER
2008,NM,1552,OTHER
2012,NM,415335,DEM
2012,NM,335788,REP
2012,NM,27788,LIB
2012,NM,2691,OTHER
2012,NM,1174,OTHER
2012,NM,982,OTHER
2016,NM,385234,DEM
2016,NM,319667,REP
2016,NM,74541,LIB
2016,NM,9879,OTHER
2016,NM,5825,OTHER
2016,NM,1514,OTHER
2016,NM,1184,OTHER
2016,NM,475,OTHER
2020,NM,4426,OTHER
2020,NM,12585,LIB
2020,NM,501614,DEM
2020,NM,1806,OTHER
2020,NM,401894,REP
2020,NM,1640,OTHER
1976,NV,101273,REP
1976,NV,92479,DEM
1976,NV,5108,OTHER
1976,NV,1519,LIB
1976,NV,1497,OTHER
1980,NV,155017,REP
1980,NV,66666,DEM
1980,NV,17651,OTHER
1980,NV,4358,LIB
1984,NV,188770,REP
1984,NV,91655,DEM
1984,NV,2292,LIB
1988,NV,206040,REP
1988,NV,132738,DEM
1988,NV,3520,LIB
1988,NV,835,OTHER
1992,NV,189148,DEM
1992,NV,175828,REP
1992,NV,132580,OTHER
1992,NV,2892,OTHER
1992,NV,2537,OTHER
1992,NV,1835,LIB
1992,NV,677,OTHER
1992,NV,483,OTHER
1992,NV,338,OTHER
1996,NV,203974,DEM
1996,NV,199244,REP
1996,NV,43986,OTHER
1996,NV,5608,OTHER
1996,NV,4730,OTHER
1996,NV,4460,LIB
1996,NV,1732,OTHER
1996,NV,545,OTHER
2000,NV,301575,REP
2000,NV,279978,DEM
2000,NV,15008,OTHER
2000,NV,4747,OTHER
2000,NV,3315,OTHER
2000,NV,3311,LIB
2000,NV,621,OTHER
2000,NV,415,OTHER
2000,NV,282,OTHER
2000,NV,174,OTHER
2004,NV,418690,REP
2004,NV,397190,DEM
2004,NV,4838,OTHER
2004,NV,3688,OTHER
2004,NV,3176,LIB
2004,NV,1152,OTHER
2004,NV,853,OTHER
2008,NV,533736,DEM
2008,NV,412827,REP
2008,NV,6267,OTHER
2008,NV,6150,OTHER
2008,NV,4263,LIB
2008,NV,3194,OTHER
2008,NV,1411,OTHER
2012,NV,531373,DEM
2012,NV,463567,REP
2012,NV,10968,LIB
2012,NV,5770,OTHER
2012,NV,3240,OTHER
2016,NV,539260,DEM
2016,NV,512058,REP
2016,NV,37384,LIB
2016,NV,28863,OTHER
2016,NV,5268,OTHER
2016,NV,2552,OTHER
2020,NV,14783,LIB
2020,NV,669890,REP
2020,NV,703486,DEM
2020,NV,3138,OTHER
2020,NV,14079,OTHER
1976,NY,3244165,DEM
1976,NY,2825913,REP
1976,NY,274878,OTHER
1976,NY,145393,OTHER
1976,NY,143037,OTHER
1976,NY,12197,OTHER
1976,NY,10270,OTHER
1976,NY,6996,OTHER
1976,NY,5413,OTHER
1980,NY,2728372,DEM
1980,NY,2637700,REP
1980,NY,467801,OTHER
1980,NY,256131,OTHER
1980,NY,52648,OTHER
1980,NY,24159,OTHER
1980,NY,23186,OTHER
1980,NY,7414,OTHER
1980,NY,2068,OTHER
1980,NY,1416,OTHER
1980,NY,1064,OTHER
1984,NY,3376519,REP
1984,NY,3001285,DEM
1984,NY,288244,OTHER
1984,NY,118324,OTHER
1984,NY,11949,LIB
1984,NY,4226,OTHER
1984,NY,3200,OTHER
1984,NY,2226,OTHER
1984,NY,837,OTHER
1988,NY,3255487,DEM
1988,NY,2838414,REP
1988,NY,243457,OTHER
1988,NY,92395,OTHER
1988,NY,20497,OTHER
1988,NY,15845,OTHER
1988,NY,12109,LIB
1988,NY,4179,OTHER
1988,NY,3287,OTHER
1988,NY,13,OTHER
1992,NY,3346894,DEM
1992,NY,2041690,REP
1992,NY,1090721,OTHER
1992,NY,177000,OTHER
1992,NY,152951,OTHER
1992,NY,127959,OTHER
1992,NY,97556,OTHER
1992,NY,15472,OTHER
1992,NY,13451,LIB
1992,NY,11318,OTHER
1992,NY,4420,OTHER
1996,NY,3649630,DEM
1996,NY,1738707,REP
1996,NY,503458,OTHER
1996,NY,183392,OTHER
1996,NY,123000,OTHER
1996,NY,106547,OTHER
1996,NY,75956,OTHER
1996,NY,23580,OTHER
1996,NY,12220,LIB
1996,NY,11393,OTHER
1996,NY,5011,OTHER
1996,NY,3473,OTHER
1996,NY,2762,OTHER
2000,NY,3942215,DEM
2000,NY,2258577,REP
2000,NY,244030,OTHER
2000,NY,144797,OTHER
2000,NY,138216,OTHER
2000,NY,88395,OTHER
2000,NY,77087,OTHER
2000,NY,25175,OTHER
2000,NY,24361,OTHER
2000,NY,7649,LIB
2000,NY,6424,OTHER
2000,NY,1789,OTHER
2000,NY,1498,OTHER
2000,NY,2,OTHER
2004,NY,4180755,DEM
2004,NY,2806993,REP
2004,NY,155574,OTHER
2004,NY,133525,OTHER
2004,NY,84247,OTHER
2004,NY,57230,OTHER
2004,NY,15626,OTHER
2004,NY,11607,LIB
2004,NY,2405,OTHER
2004,NY,304,OTHER
2008,NY,4645332,DEM
2008,NY,2418323,REP
2008,NY,170475,OTHER
2008,NY,163973,OTHER
2008,NY,159613,OTHER
2008,NY,84701,OTHER
2008,NY,41249,OTHER
2008,NY,19596,LIB
2008,NY,12801,OTHER
2008,NY,3615,OTHER
2008,NY,1639,OTHER
2008,NY,702,OTHER
2012,NY,4324228,DEM
2012,NY,2223397,REP
2012,NY,262035,OTHER
2012,NY,147643,OTHER
2012,NY,63881,OTHER
2012,NY,47092,LIB
2012,NY,39856,OTHER
2012,NY,6270,OTHER
2012,NY,2039,OTHER
2012,NY,343,OTHER
2016,NY,4379789,DEM
2016,NY,2527142,REP
2016,NY,292392,OTHER
2016,NY,140041,OTHER
2016,NY,119156,OTHER
2016,NY,107934,OTHER
2016,NY,77179,OTHER
2016,NY,57442,LIB
2016,NY,48447,OTHER
2016,NY,36294,OTHER
2016,NY,12816,OTHER
2016,NY,3452,OTHER
2020,NY,5230985,DEM
2020,NY,3244798,REP
2020,NY,32753,OTHER
2020,NY,60234,LIB
2020,NY,22587,OTHER
2020,NY,805,OTHER
2020,NY,376,OTHER
2020,NY,3,OTHER
2020,NY,2,OTHER
2020,NY,6,OTHER
2020,NY,9,OTHER
2020,NY,13,OTHER
2020,NY,155,OTHER
2020,NY,20,OTHER
2020,NY,28,OTHER
2020,NY,3,OTHER
2020,NY,1897,OTHER
2020,NY,43,OTHER
2020,NY,2,OTHER
2020,NY,98,OTHER
2020,NY,8,OTHER
2020,NY,1,OTHER
2020,NY,43541,OTHER
2020,NY,23368,OTHER
1976,OH,2009959,DEM
1976,OH,2000626,REP
1976,OH,58267,OTHER
1976,OH,15508,OTHER
1976,OH,8952,LIB
1976,OH,7817,OTHER
1976,OH,4833,OTHER
1976,OH,4364,OTHER
1976,OH,68,OTHER
1976,OH,62,OTHER
1980,OH,2206545,REP
1980,OH,1752414,DEM
1980,OH,254472,OTHER
1980,OH,49033,LIB
1980,OH,8564,OTHER
1980,OH,4729,OTHER
1980,OH,4029,OTHER
1980,OH,3790,OTHER
1980,OH,27,OTHER
1984,OH,2678559,REP
1984,OH,1825440,DEM
1984,OH,24180,OTHER
1984,OH,10693,OTHER
1984,OH,7130,OTHER
1984,OH,5886,LIB
1984,OH,4438,OTHER
1984,OH,4344,OTHER
1984,OH,2565,OTHER
1988,OH,2416549,REP
1988,OH,1939629,DEM
1988,OH,12017,OTHER
1988,OH,11926,LIB
1988,OH,7713,OTHER
1988,OH,5401,OTHER
1988,OH,350,OTHER
1992,OH,1984942,DEM
1992,OH,1894310,REP
1992,OH,1036426,OTHER
1992,OH,24247,OTHER
1992,OH,42,OTHER
1996,OH,2148222,DEM
1996,OH,1859883,REP
1996,OH,483207,OTHER
1996,OH,12851,LIB
1996,OH,10813,OTHER
1996,OH,9120,OTHER
1996,OH,7361,OTHER
1996,OH,2962,OTHER
1996,OH,15,OTHER
2000,OH,2350363,REP
2000,OH,2183628,DEM
2000,OH,148353,OTHER
2000,OH,13473,LIB
2000,OH,6181,OTHER
2004,OH,2859764,REP
2004,OH,2741165,DEM
2004,OH,26616,OTHER
2004,OH,358,OTHER
2008,OH,2940044,DEM
2008,OH,2677820,REP
2008,OH,46242,OTHER
2008,OH,19917,LIB
2008,OH,12565,OTHER
2008,OH,8518,OTHER
2008,OH,2735,OTHER
2008,OH,509,OTHER
2012,OH,2827621,DEM
2012,OH,2661407,REP
2012,OH,49493,LIB
2012,OH,18574,OTHER
2012,OH,12502,OTHER
2012,OH,8151,OTHER
2012,OH,2967,OTHER
2012,OH,107,OTHER
2016,OH,2841005,REP
2016,OH,2394164,DEM
2016,OH,198733,OTHER
2016,OH,46271,OTHER
2016,OH,16314,OTHER
2020,OH,3154834,REP
2020,OH,2679165,DEM
2020,OH,67569,LIB
2020,OH,3,OTHER
2020,OH,1450,OTHER
2020,OH,18812,OTHER
2020,OH,114,OTHER
2020,OH,27,OTHER
2020,OH,212,OTHER
2020,OH,16,OTHER
1976,OK,545708,REP
1976,OK,532442,DEM
1976,OK,14101,OTHER
1980,OK,695570,REP
1980,OK,402026,DEM
1980,OK,38284,OTHER
1980,OK,13828,LIB
1984,OK,861530,REP
1984,OK,385080,DEM
1984,OK,9066,LIB
1988,OK,678367,REP
1988,OK,483423,DEM
1988,OK,6261,LIB
1988,OK,2985,OTHER
1992,OK,592929,REP
1992,OK,473066,DEM
1992,OK,319878,OTHER
1992,OK,4486,LIB
1996,OK,582315,REP
1996,OK,488105,DEM
1996,OK,130788,OTHER
1996,OK,5505,LIB
2000,OK,744337,REP
2000,OK,474276,DEM
2000,OK,9014,OTHER
2000,OK,6602,LIB
2004,OK,959792,REP
2004,OK,503966,DEM
2008,OK,960165,REP
2008,OK,502496,DEM
2012,OK,891325,REP
2012,OK,443547,DEM
2016,OK,949136,REP
2016,OK,420375,DEM
2016,OK,83481,LIB
2020,OK,1020280,REP
2020,OK,503890,DEM
2020,OK,24731,LIB
2020,OK,3654,OTHER
2020,OK,5597,OTHER
2020,OK,2547,OTHER
1976,OR,492120,REP
1976,OR,490407,DEM
1976,OR,40207,OTHER
1976,OR,6107,OTHER
1976,OR,1035,OTHER
1980,OR,571044,REP
1980,OR,456890,DEM
1980,OR,112389,OTHER
1980,OR,25838,LIB
1980,OR,13642,OTHER
1980,OR,1713,OTHER
1984,OR,685700,REP
1984,OR,536479,DEM
1984,OR,4348,OTHER
1988,OR,616206,DEM
1988,OR,560126,REP
1988,OR,14811,LIB
1988,OR,6487,OTHER
1988,OR,4064,OTHER
1992,OR,621314,DEM
1992,OR,475757,REP
1992,OR,354091,OTHER
1992,OR,4277,LIB
1992,OR,3030,OTHER
1992,OR,2609,OTHER
1992,OR,1565,OTHER
1996,OR,649641,DEM
1996,OR,538152,REP
1996,OR,121221,OTHER
1996,OR,49415,OTHER
1996,OR,8903,LIB
1996,OR,3379,OTHER
1996,OR,2798,OTHER
1996,OR,2329,OTHER
1996,OR,1922,OTHER
2000,OR,720342,DEM
2000,OR,713577,REP
2000,OR,77357,OTHER
2000,OR,7447,LIB
2000,OR,7063,OTHER
2000,OR,3401,OTHER
2000,OR,2574,OTHER
2000,OR,2189,OTHER
2004,OR,943163,DEM
2004,OR,866831,REP
2004,OR,8956,OTHER
2004,OR,7260,LIB
2004,OR,5315,OTHER
2004,OR,5257,OTHER
2008,OR,1037291,DEM
2008,OR,738475,REP
2008,OR,18614,OTHER
2008,OR,13613,OTHER
2008,OR,7693,OTHER
2008,OR,7635,LIB
2008,OR,4543,OTHER
2012,OR,970488,DEM
2012,OR,754175,REP
2012,OR,24089,LIB
2012,OR,19427,OTHER
2012,OR,13275,OTHER
2012,OR,4432,OTHER
2012,OR,3384,OTHER
2016,OR,1002106,DEM
2016,OR,782403,REP
2016,OR,94231,LIB
2016,OR,72594,OTHER
2016,OR,50002,OTHER
2020,OR,958448,REP
2020,OR,1340383,DEM
2020,OR,41582,LIB
2020,OR,11831,OTHER
2020,OR,4988,OTHER
2020,OR,17089,OTHER
1976,PA,2328677,DEM
1976,PA,2205604,REP
1976,PA,50584,OTHER
1976,PA,25344,OTHER
1976,PA,3009,OTHER
1976,PA,2934,OTHER
1976,PA,2744,OTHER
1976,PA,1891,OTHER
1980,PA,2261872,REP
1980,PA,1937540,DEM
1980,PA,292921,OTHER
1980,PA,33263,LIB
1980,PA,20291,OTHER
1980,PA,10430,OTHER
1980,PA,5184,OTHER
1984,PA,2584323,REP
1984,PA,2228131,DEM
1984,PA,21628,OTHER
1984,PA,6982,LIB
1984,PA,2059,OTHER
1984,PA,1780,OTHER
1988,PA,2300087,REP
1988,PA,2194944,DEM
1988,PA,19158,OTHER
1988,PA,12051,LIB
1988,PA,4379,OTHER
1988,PA,3444,OTHER
1988,PA,2188,OTHER
1992,PA,2239164,DEM
1992,PA,1791841,REP
1992,PA,902667,OTHER
1992,PA,21477,LIB
1992,PA,4661,OTHER
1996,PA,2215819,DEM
1996,PA,1801169,REP
1996,PA,430984,OTHER
1996,PA,28000,LIB
1996,PA,19552,OTHER
1996,PA,5783,OTHER
2000,PA,2485967,DEM
2000,PA,2281127,REP
2000,PA,103392,OTHER
2000,PA,16023,OTHER
2000,PA,14428,OTHER
2000,PA,11248,LIB
2004,PA,2938095,DEM
2004,PA,2793847,REP
2004,PA,21185,LIB
2004,PA,6319,OTHER
2004,PA,6318,OTHER
2004,PA,2656,OTHER
2004,PA,1170,OTHER
2008,PA,3276363,DEM
2008,PA,2655885,REP
2008,PA,42977,OTHER
2008,PA,19912,LIB
2008,PA,9955,OTHER
2008,PA,8180,OTHER
2012,PA,2990274,DEM
2012,PA,2680434,REP
2012,PA,49991,LIB
2012,PA,21341,OTHER
2016,PA,2970733,REP
2016,PA,2926441,DEM
2016,PA,146715,LIB
2016,PA,49941,OTHER
2016,PA,21572,OTHER
2020,PA,3377674,REP
2020,PA,3458229,DEM
2020,PA,79380,LIB
1976,RI,227636,DEM
1976,RI,181249,REP
1976,RI,715,LIB
1976,RI,462,OTHER
1976,RI,334,OTHER
1976,RI,188,OTHER
1980,RI,198342,DEM
1980,RI,154793,REP
1980,RI,59819,OTHER
1980,RI,2458,LIB
1980,RI,218,OTHER
1980,RI,170,OTHER
1980,RI,90,OTHER
1980,RI,77,OTHER
1984,RI,212080,REP
1984,RI,197106,DEM
1984,RI,510,OTHER
1984,RI,277,LIB
1984,RI,240,OTHER
1984,RI,91,OTHER
1984,RI,75,OTHER
1984,RI,61,OTHER
1984,RI,49,OTHER
1988,RI,225123,DEM
1988,RI,177761,REP
1988,RI,825,LIB
1988,RI,280,OTHER
1988,RI,195,OTHER
1988,RI,159,OTHER
1988,RI,130,OTHER
1988,RI,96,OTHER
1988,RI,53,OTHER
1992,RI,213299,DEM
1992,RI,131601,REP
1992,RI,105045,OTHER
1992,RI,1878,OTHER
1992,RI,571,LIB
1992,RI,494,OTHER
1992,RI,262,OTHER
1992,RI,215,OTHER
1996,RI,233050,DEM
1996,RI,104683,REP
1996,RI,43723,OTHER
1996,RI,6040,OTHER
1996,RI,1109,LIB
1996,RI,1021,OTHER
1996,RI,435,OTHER
1996,RI,186,OTHER
2000,RI,249508,DEM
2000,RI,130555,REP
2000,RI,25052,OTHER
2000,RI,2273,OTHER
2000,RI,742,LIB
2000,RI,329,OTHER
2000,RI,271,OTHER
2000,RI,199,OTHER
2000,RI,97,OTHER
2000,RI,52,OTHER
2000,RI,34,OTHER
2004,RI,259760,DEM
2004,RI,169046,REP
2004,RI,4651,OTHER
2004,RI,1333,OTHER
2004,RI,907,LIB
2004,RI,845,OTHER
2004,RI,339,OTHER
2004,RI,253,OTHER
2008,RI,296571,DEM
2008,RI,165391,REP
2008,RI,4829,OTHER
2008,RI,1999,OTHER
2008,RI,1382,LIB
2008,RI,797,OTHER
2008,RI,675,OTHER
2008,RI,122,OTHER
2012,RI,279677,DEM
2012,RI,157204,REP
2012,RI,4388,LIB
2012,RI,2421,OTHER
2012,RI,1381,OTHER
2012,RI,430,OTHER
2012,RI,416,OTHER
2012,RI,132,OTHER
2016,RI,252525,DEM
2016,RI,180543,REP
2016,RI,14746,LIB
2016,RI,9439,OTHER
2016,RI,6220,OTHER
2016,RI,671,OTHER
2020,RI,307486,DEM
2020,RI,199922,REP
2020,RI,5053,LIB
2020,RI,2759,OTHER
2020,RI,923,OTHER
2020,RI,847,OTHER
1976,SC,450807,DEM
1976,SC,346149,REP
1976,SC,2996,OTHER
1976,SC,1950,OTHER
1976,SC,681,OTHER
1980,SC,439277,REP
1980,SC,428220,DEM
1980,SC,13868,OTHER
1980,SC,4807,LIB
1980,SC,2086,OTHER
1984,SC,615539,REP
1984,SC,344459,DEM
1984,SC,4359,LIB
1984,SC,3490,OTHER
1984,SC,682,OTHER
1988,SC,606443,REP
1988,SC,370554,DEM
1988,SC,4935,LIB
1988,SC,4077,OTHER
1992,SC,577507,REP
1992,SC,525514,DEM
1992,SC,119257,OTHER
1992,SC,2719,LIB
1992,SC,2680,OTHER
1992,SC,1235,OTHER
1996,SC,573339,REP
1996,SC,506152,DEM
1996,SC,36913,OTHER
1996,SC,27464,OTHER
1996,SC,4271,LIB
1996,SC,2043,OTHER
2000,SC,786892,REP
2000,SC,566037,DEM
2000,SC,20279,OTHER
2000,SC,4760,LIB
2000,SC,3309,OTHER
2000,SC,1682,OTHER
2000,SC,943,OTHER
2004,SC,937974,REP
2004,SC,661669,DEM
2004,SC,5520,OTHER
2004,SC,5317,OTHER
2004,SC,3608,LIB
2004,SC,2124,OTHER
2004,SC,1488,OTHER
2008,SC,1034896,REP
2008,SC,862449,DEM
2008,SC,7283,LIB
2008,SC,6827,OTHER
2008,SC,5053,OTHER
2008,SC,4461,OTHER
2012,SC,1071645,REP
2012,SC,865941,DEM
2012,SC,16321,LIB
2012,SC,5446,OTHER
2012,SC,4765,OTHER
2016,SC,1155389,REP
2016,SC,855373,DEM
2016,SC,49204,LIB
2016,SC,21016,OTHER
2016,SC,13034,OTHER
2016,SC,5765,OTHER
2016,SC,3246,OTHER
2020,SC,767,OTHER
2020,SC,6907,OTHER
2020,SC,1385103,REP
2020,SC,1862,OTHER
2020,SC,27916,LIB
2020,SC,1091541,DEM
1976,SD,151505,REP
1976,SD,147068,DEM
1976,SD,1619,LIB
1976,SD,318,OTHER
1976,SD,168,OTHER
1980,SD,198343,REP
1980,SD,103855,DEM
1980,SD,21431,OTHER
1980,SD,3824,LIB
1980,SD,250,OTHER
1984,SD,200267,REP
1984,SD,116113,DEM
1984,SD,1150,OTHER
1984,SD,337,OTHER
1988,SD,165415,REP
1988,SD,145560,DEM
1988,SD,2016,OTHER
1992,SD,136718,REP
1992,SD,124888,DEM
1992,SD,73295,OTHER
1992,SD,814,LIB
1992,SD,539,OTHER
1996,SD,150543,REP
1996,SD,139333,DEM
1996,SD,32478,OTHER
1996,SD,1472,LIB
2000,SD,190700,REP
2000,SD,118804,DEM
2000,SD,3322,OTHER
2000,SD,1781,OTHER
2000,SD,1662,LIB
2004,SD,232584,REP
2004,SD,149244,DEM
2004,SD,4320,OTHER
2004,SD,1103,OTHER
2004,SD,964,LIB
2008,SD,203054,REP
2008,SD,170924,DEM
2008,SD,4267,OTHER
2008,SD,1895,OTHER
2008,SD,1835,LIB
2012,SD,210610,REP
2012,SD,145039,DEM
2012,SD,5795,LIB
2012,SD,2371,OTHER
2016,SD,227721,REP
2016,SD,117458,DEM
2016,SD,20850,LIB
2016,SD,4064,OTHER
2020,SD,261043,REP
2020,SD,150471,DEM
2020,SD,11095,LIB
1976,TN,825879,DEM
1976,TN,633969,REP
1976,TN,5769,OTHER
1976,TN,5004,OTHER
1976,TN,2303,OTHER
1976,TN,1375,OTHER
1976,TN,547,OTHER
1976,TN,512,OTHER
1976,TN,442,OTHER
1976,TN,316,OTHER
1976,TN,230,OTHER
1980,TN,787761,REP
1980,TN,783051,DEM
1980,TN,35991,OTHER
1980,TN,7116,LIB
1980,TN,1112,OTHER
1980,TN,521,OTHER
1980,TN,519,OTHER
1980,TN,503,OTHER
1980,TN,490,OTHER
1980,TN,400,OTHER
1980,TN,152,OTHER
1984,TN,990212,REP
1984,TN,711714,DEM
1984,TN,3072,LIB
1984,TN,1852,OTHER
1984,TN,1763,OTHER
1984,TN,1036,OTHER
1984,TN,978,OTHER
1984,TN,715,OTHER
1984,TN,524,OTHER
1984,TN,127,OTHER
1988,TN,947233,REP
1988,TN,679794,DEM
1988,TN,8938,OTHER
1988,TN,285,OTHER
1992,TN,933521,DEM
1992,TN,841300,REP
1992,TN,199968,OTHER
1992,TN,7688,OTHER
1992,TN,161,OTHER
1996,TN,909146,DEM
1996,TN,863530,REP
1996,TN,121239,OTHER
1996,TN,190,OTHER
2000,TN,1061949,REP
2000,TN,981720,DEM
2000,TN,32084,OTHER
2000,TN,428,OTHER
2004,TN,1384375,REP
2004,TN,1036477,DEM
2004,TN,16428,OTHER
2004,TN,39,OTHER
2008,TN,1479178,REP
2008,TN,1087437,DEM
2008,TN,33134,OTHER
2012,TN,1462330,REP
2012,TN,960709,DEM
2012,TN,23001,OTHER
2012,TN,6515,OTHER
2012,TN,6022,OTHER
2016,TN,1522925,REP
2016,TN,870695,DEM
2016,TN,100618,OTHER
2016,TN,13789,OTHER
2020,TN,1852475,REP
2020,TN,1143711,DEM
2020,TN,5365,OTHER
2020,TN,1860,OTHER
2020,TN,4545,OTHER
2020,TN,29877,OTHER
2020,TN,2576,OTHER
2020,TN,2301,OTHER
2020,TN,10279,OTHER
2020,TN,1,OTHER
2020,TN,762,OTHER
2020,TN,31,OTHER
2020,TN,68,OTHER
1976,TX,2082319,DEM
1976,TX,1953300,REP
1976,TX,20118,OTHER
1976,TX,11442,OTHER
1976,TX,2982,OTHER
1976,TX,1723,OTHER
1980,TX,2510705,REP
1980,TX,1881147,DEM
1980,TX,111613,OTHER
1980,TX,37643,LIB
1980,TX,528,OTHER
1984,TX,3433428,REP
1984,TX,1949276,DEM
1984,TX,14613,OTHER
1984,TX,254,OTHER
1988,TX,3036829,REP
1988,TX,2352748,DEM
1988,TX,30355,LIB
1988,TX,7208,OTHER
1988,TX,270,OTHER
1992,TX,2496071,REP
1992,TX,2281815,DEM
1992,TX,1354781,OTHER
1992,TX,19699,LIB
1992,TX,1652,OTHER
1996,TX,2736167,REP
1996,TX,2459683,DEM
1996,TX,378537,OTHER
1996,TX,20256,LIB
1996,TX,7472,OTHER
1996,TX,5107,OTHER
1996,TX,4422,OTHER
2000,TX,3799639,REP
2000,TX,2433746,DEM
